days_held,label,num_dir,entry_a_rel,entry_b_rel,abs_z,pair_encoded,prev_pnl,rolling_winrate_5,days_since_last,pair_avg_hold,abs_z_x_entry_a,z_per_days_gap,pair_dir_combo
29,1,1,0.11166690965669555,0.8883330903433044,2.1704148227414204,9,0.0,1.0,999.0,29.0,0.24236351592861907,0.0021704148227414204,9
17,0,1,0.16182858540553743,0.8381714145944625,2.9456375648351396,14,0.0,0.0,999.0,17.0,0.4766883602346827,0.0029456375648351397,14
8,0,0,0.47670529091451425,0.5232947090854858,3.36581483083358,5,1.0,0.5,29.0,14.5,1.6045017380969082,0.11219382769445267,0
8,0,1,0.6639366443161557,0.33606335568384427,3.3870780936680154,27,1.0,0.5,29.0,14.0,2.248805263546704,0.11290260312226717,27
16,1,0,0.4460265934992661,0.5539734065007339,2.015746001025033,34,0.0,1.0,999.0,16.0,0.8990763221969637,0.002015746001025033,0
8,0,0,0.6008509655266758,0.3991490344733243,3.2774942221081327,67,0.0,0.0,999.0,8.0,1.969285567861773,0.003277494222108133,0
7,0,1,0.466106976152419,0.533893023847581,2.0316475304753587,36,-1.0,0.0,17.0,9.5,0.9469650870373989,0.11286930724863103,36
13,0,1,0.34594813789881246,0.6540518621011876,2.1367818416535473,37,0.0,0.0,999.0,13.0,0.7392156992160398,0.002136781841653547,37
12,0,1,0.482608463399195,0.5173915366008051,2.342553642030951,21,-1.0,0.0,27.0,12.5,1.1305362136107453,0.08366263007253397,21
12,1,1,0.274222765333666,0.725777234666334,2.346735277510649,22,-1.0,0.5,27.0,12.5,0.6435282373050383,0.08381197419680889,22
2,0,0,0.6867886424920726,0.3132113575079274,2.06152370394098,70,1.0,0.5,38.0,13.0,1.415831066094855,0.05285958215233282,0
3,1,0,0.5813356382679425,0.4186643617320574,2.0723173962597117,6,0.0,1.0,999.0,3.0,1.2047119562484003,0.002072317396259712,0
3,0,1,0.5568026048004433,0.4431973951995567,2.097851310861736,54,-1.0,0.0,25.0,6.666666666666667,1.168089074371839,0.08068658887929753,54
2,0,1,0.5733062072325062,0.42669379276749375,2.165249387203353,55,0.0,0.0,999.0,2.0,1.2413509138900627,0.0021652493872033533,55
3,0,0,0.20712704987409167,0.7928729501259083,2.1901254591900035,2,0.0,0.0,999.0,3.0,0.45363422521616575,0.0021901254591900035,0
21,1,1,0.22795103473787517,0.7720489652621249,2.3022035060565393,42,0.0,1.0,999.0,21.0,0.5247896713827522,0.002302203506056539,42
10,0,1,0.3073440363455268,0.6926559636544731,2.0896518992069253,13,-1.0,0.0,24.0,11.5,0.6422420492593524,0.08358607596827701,13
43,0,0,0.6751802125401136,0.32481978745988643,2.1201569138841396,11,0.0,0.0,999.0,43.0,1.4314879957346847,0.0021201569138841396,0
28,1,0,0.08505969538413559,0.9149403046158644,2.4009302287564647,65,0.0,1.0,999.0,28.0,0.20422239389658786,0.0024009302287564646,0
14,0,1,0.6401759863232399,0.3598240136767601,2.275135772239704,31,1.0,0.5,35.0,20.0,1.4564872870128385,0.06319821589554733,31
5,1,0,0.8816353847821444,0.11836461521785555,2.4707504778011793,0,-1.0,0.5,44.0,10.0,2.17830104819691,0.05490556617335954,0
20,0,1,0.36902504250670026,0.6309749574932998,2.4866084478866606,28,-1.0,0.0,15.0,13.5,0.9176207881788949,0.15541302799291629,28
1,0,0,0.4479963939549648,0.5520036060450352,2.3791975306719273,36,-1.0,0.0,16.0,6.666666666666667,1.0658719142475803,0.13995279592187806,0
15,1,0,0.40841399511831866,0.5915860048816813,2.346666146650171,53,-1.0,0.5,40.0,17.5,0.9584112961623066,0.05723575967439441,0
30,1,1,0.7796285241758754,0.2203714758241246,2.1248802560688747,60,-1.0,0.5,8.0,16.5,1.656617258089433,0.23609780622987497,60
31,1,1,0.18782772162825076,0.8121722783717492,3.2933488340452417,58,0.0,1.0,999.0,31.0,0.6185822080257739,0.0032933488340452415,58
21,1,0,0.30435644183996,0.69564355816004,3.1691109278440406,19,-1.0,0.5,27.0,17.5,0.9645393257947464,0.11318253313728717,0
30,1,1,0.7645215476265993,0.23547845237340073,2.1016740517070565,57,0.0,1.0,999.0,30.0,1.6067750986177443,0.0021016740517070566,57
21,0,0,0.25557136904941946,0.7444286309505805,3.6707574615976433,17,0.0,0.0,999.0,21.0,0.9381405099088814,0.003670757461597643,0
15,0,0,0.326674984484542,0.673325015515458,2.0381322349919957,63,-1.0,0.0,8.0,8.0,0.6658068162434552,0.22645913722133285,0
6,0,0,0.21056824756448558,0.7894317524355144,2.56803206957323,33,1.0,0.5,38.0,8.0,0.5407460125794341,0.06584697614290333,0
24,0,0,0.3586199209198186,0.6413800790801814,2.407889821232903,49,0.0,0.0,999.0,24.0,0.8635172572741798,0.002407889821232903,0
8,0,0,0.18911620586519923,0.8108837941348008,2.0679753966841243,52,-1.0,0.0,15.0,4.5,0.3910876608434819,0.12924846229275777,0
