pair,entry_dt,exit_dt,dir,entry_a,entry_b,exit_a,pnl,days_held,exit_b
VEDL.NS : HINDZINC.NS,2021-10-01,2021-10-14,LONG,150.041259765625,200.19631958007812,174.21267700195312,-2.344879150390625,13,
BDL.NS : HAL.NS,2021-10-05,2021-10-18,SHORT,181.48207092285156,641.2914428710938,198.9897003173828,31.6502685546875,13,
NTPC.NS : BDL.NS,2021-09-15,2021-10-19,LONG,106.43914794921876,192.94677734375,131.59951782226562,11.603866577148423,34,
BDL.NS : POWERGRID.NS,2021-09-28,2021-10-19,SHORT,182.9029235839844,114.30970764160156,206.50328063964844,-14.465530395507798,21,
HINDZINC.NS : POWERGRID.NS,2021-10-18,2021-10-21,LONG,253.49044799804688,126.64485168457033,223.67189025878903,-23.75973510742189,3,
TCS.NS : HAVELLS.NS,2021-10-08,2021-10-21,LONG,3695.32421875,1343.6807861328125,3323.156494140625,-288.2520751953125,13,
NTPC.NS : HINDZINC.NS,2021-10-18,2021-10-21,SHORT,131.51161193847656,253.49044799804688,130.06060791015625,-28.36755371093753,3,
LT.NS : HINDZINC.NS,2021-10-14,2021-10-21,SHORT,1721.572021484375,226.71261596679688,1737.3992919921875,-18.86799621582034,7,
CEATLTD.NS : HINDZINC.NS,2021-09-21,2021-10-21,LONG,1283.3341064453125,208.33755493164065,1327.965576171875,29.29713439941412,30,
SBIN.NS : VEDL.NS,2021-10-18,2021-10-21,SHORT,473.0198364257813,196.70443725585935,477.76953125,-17.53091430664054,3,
CGPOWER.NS : HINDZINC.NS,2021-10-18,2021-10-21,SHORT,122.9114227294922,253.49044799804688,136.52423095703125,-43.43136596679689,3,
CGPOWER.NS : JINDALSTEL.NS,2021-10-14,2021-10-21,SHORT,117.07028198242188,441.151123046875,136.52423095703125,-32.001800537109375,7,
HINDZINC.NS : GAIL.NS,2021-10-18,2021-10-22,LONG,253.49044799804688,90.1947021484375,210.7897796630859,-36.63552093505862,4,
MRF.NS : HINDZINC.NS,2021-10-18,2021-10-22,SHORT,83884.34375,253.49044799804688,80388.5703125,3453.072769165039,4,
ABB.NS : HINDZINC.NS,2021-10-13,2021-10-22,SHORT,1788.3231201171875,217.65591430664065,1889.72265625,-108.26567077636724,9,
HINDZINC.NS : APOLLOTYRE.NS,2021-10-18,2021-10-22,LONG,253.49044799804688,233.3406524658203,210.7897796630859,-22.06086730957034,4,
BEL.NS : POWERGRID.NS,2021-09-29,2021-10-25,SHORT,64.83799743652344,121.20745849609376,63.62120819091797,-0.2746276855468892,26,
SBIN.NS : TATAPOWER.NS,2021-09-30,2021-10-25,SHORT,430.3202819824219,155.3170166015625,481.1417846679687,2.8423614501953693,25,
NTPC.NS : BEL.NS,2021-08-27,2021-10-25,SHORT,94.54110717773438,58.20674133300781,126.54309844970705,-26.587524414062514,59,
SBILIFE.NS : HAVELLS.NS,2021-10-14,2021-10-25,SHORT,1176.2205810546875,1444.2523193359375,1120.81005859375,-116.193115234375,11,
NTPC.NS : HAL.NS,2021-09-20,2021-10-26,LONG,107.90018463134766,642.3175048828125,125.92752075195312,42.41973114013672,36,
HINDZINC.NS : SBILIFE.NS,2021-10-14,2021-10-26,LONG,226.71261596679688,1176.2205810546875,211.3456115722656,-1.9732055664062784,12,
ULTRACEMCO.NS : APOLLOHOSP.NS,2021-10-22,2021-10-26,LONG,7034.73193359375,3981.950927734375,7152.31201171875,-119.208740234375,4,
BAJFINANCE.NS : HDFCBANK.NS,2021-10-14,2021-10-26,SHORT,7762.2578125,1626.878662109375,7755.1005859375,-26.25,12,
APOLLOHOSP.NS : SBILIFE.NS,2021-10-25,2021-10-27,LONG,4115.9873046875,1120.81005859375,4227.2392578125,55.39501953125,2,
APOLLOHOSP.NS : HDFCBANK.NS,2021-09-22,2021-10-27,LONG,4848.3447265625,1478.6912841796875,4227.2392578125,-726.29248046875,35,
VEDL.NS : HINDZINC.NS,2021-10-21,2021-10-27,LONG,183.9232177734375,223.67189025878903,165.525634765625,-6.496353149414119,6,
ULTRACEMCO.NS : JINDALSTEL.NS,2021-09-29,2021-10-27,SHORT,7344.62109375,377.9178466796875,7236.04443359375,155.90280151367188,28,
TCS.NS : ICICIPRULI.NS,2021-10-20,2021-10-27,LONG,3394.98193359375,629.8009033203125,3282.939208984375,-112.2421875,7,
TATASTEEL.NS : AMBUJACEM.NS,2021-09-30,2021-10-28,LONG,54.386905670166016,388.4209289550781,54.83840560913086,10.302757263183594,28,
JSWSTEEL.NS : APOLLOHOSP.NS,2021-09-29,2021-10-28,LONG,651.5543212890625,4372.4951171875,639.717529296875,120.6173095703125,29,
GRASIM.NS : APOLLOHOSP.NS,2021-09-27,2021-10-28,LONG,1621.99462890625,4512.90771484375,1674.7232666015625,325.5953369140625,31,
JINDALSTEL.NS : AMBUJACEM.NS,2021-09-29,2021-10-28,LONG,377.9178466796875,394.4869689941406,409.1886901855469,47.188140869140625,29,
SBIN.NS : CGPOWER.NS,2021-10-14,2021-10-28,LONG,466.0378112792969,117.07028198242188,476.2496337890625,-21.617431640625,14,
ULTRACEMCO.NS : GRASIM.NS,2021-09-24,2021-10-28,SHORT,7400.65625,1603.2545166015625,7327.00927734375,145.11572265625,34,
TCS.NS : HDFCBANK.NS,2021-10-11,2021-10-28,SHORT,3460.54345703125,1575.2010498046875,3218.875732421875,202.90966796875,17,
BEL.NS : BDL.NS,2021-10-19,2021-10-29,SHORT,65.37528991699219,206.50328063964844,65.37528991699219,-11.222198486328125,10,
HINDZINC.NS : MGL.NS,2021-10-14,2021-10-29,LONG,226.71261596679688,979.580810546875,203.59669494628903,35.54612731933591,15,
HDFCBANK.NS : HAVELLS.NS,2021-10-21,2021-10-29,LONG,1616.1768798828125,1259.76513671875,1526.0784912109375,-70.60546875,8,
SBIN.NS : AMBUJACEM.NS,2021-09-29,2021-10-29,LONG,436.9698181152344,394.4869689941406,477.0095825195313,41.64123535156256,30,
MGL.NS : POWERGRID.NS,2021-09-28,2021-11-01,SHORT,991.1018676757812,114.30970764160156,932.3941650390624,61.06911468505871,34,
GAIL.NS : LICHSGFIN.NS,2021-10-22,2021-11-02,LONG,84.12955474853516,379.2792053222656,84.38108825683594,-15.253898620605469,11,
IOC.NS : LICHSGFIN.NS,2021-10-22,2021-11-02,LONG,69.55400085449219,379.2792053222656,69.60722351074219,-15.45220947265625,11,
ICICIPRULI.NS : INFY.NS,2021-10-19,2021-11-02,SHORT,657.6646728515625,1693.2266845703125,629.5516357421875,-73.3631591796875,14,
ICICIBANK.NS : APOLLOHOSP.NS,2021-09-27,2021-11-03,LONG,707.7269897460938,4512.90771484375,761.969970703125,179.72930908203125,37,
TCS.NS : INFY.NS,2021-10-11,2021-11-04,SHORT,3460.54345703125,1571.3094482421875,3300.71923828125,190.39013671875,24,
NTPC.NS : HAL.NS,2021-10-29,2021-11-08,SHORT,116.65003204345705,609.3901977539062,123.37730407714844,14.027183532714858,10,
APOLLOHOSP.NS : HAVELLS.NS,2021-10-12,2021-11-08,SHORT,4301.12744140625,1391.49267578125,4354.55517578125,-142.4356689453125,27,
JSWSTEEL.NS : HAVELLS.NS,2021-10-21,2021-11-08,LONG,646.0911865234375,1259.76513671875,657.3529663085938,-31.45782470703125,18,
BDL.NS : HAL.NS,2021-10-19,2021-11-09,LONG,206.50328063964844,666.9664306640625,207.15350341796875,29.123550415039062,21,
HAL.NS : MGL.NS,2021-10-20,2021-11-09,LONG,657.5686645507812,958.1905517578124,638.4931030273438,2.7273559570311363,20,
AMBUJACEM.NS : HAVELLS.NS,2021-10-14,2021-11-11,SHORT,396.7192687988281,1444.2523193359375,408.8028259277344,-134.70135498046875,28,
GRASIM.NS : HAVELLS.NS,2021-10-21,2021-11-11,LONG,1717.4178466796875,1259.76513671875,1814.3656005859375,35.078369140625,21,
SBIN.NS : VEDL.NS,2021-10-27,2021-11-11,LONG,493.1584777832031,165.525634765625,484.0865783691406,-13.533538818359375,15,
APOLLOHOSP.NS : AMBUJACEM.NS,2021-11-08,2021-11-11,SHORT,4354.55517578125,417.1011657714844,4514.58740234375,-168.33056640625,3,
TATASTEEL.NS : SBIN.NS,2021-09-16,2021-11-11,SHORT,60.62563705444336,440.4845886230469,54.83840560913086,49.38922119140625,56,
CGPOWER.NS : BDL.NS,2021-10-26,2021-11-11,LONG,149.29554748535156,202.6260986328125,152.1171112060547,-5.631210327148466,16,
ULTRACEMCO.NS : APOLLOHOSP.NS,2021-10-29,2021-11-12,LONG,7513.3662109375,4212.90625,7950.9208984375,34.80224609375,14,
SIEMENS.NS : MGL.NS,2021-10-21,2021-11-15,LONG,2157.42626953125,936.2039794921876,2312.942626953125,157.12298583984386,25,
BEL.NS : POWERGRID.NS,2021-11-09,2021-11-17,LONG,69.78422546386719,115.9253921508789,68.09334564208984,-4.487243652343764,8,
TCS.NS : ICICIPRULI.NS,2021-11-12,2021-11-17,SHORT,3317.088623046875,670.5248413085938,3313.184326171875,-25.3551025390625,5,
AMBUJACEM.NS : SBILIFE.NS,2021-10-29,2021-11-17,LONG,392.885498046875,1136.535400390625,397.10748291015625,-37.10003662109375,19,
NTPC.NS : BDL.NS,2021-10-28,2021-11-18,SHORT,120.78314208984376,200.7235870361328,118.98040771484376,-0.4850311279296875,21,
TATASTEEL.NS : AMBUJACEM.NS,2021-11-08,2021-11-18,SHORT,56.680274963378906,417.1011657714844,50.070213317871094,-21.439315795898438,10,
NTPC.NS : BEL.NS,2021-10-29,2021-11-18,SHORT,116.65003204345705,65.37528991699219,118.98040771484376,-1.6982650756835938,20,
SBIN.NS : JINDALSTEL.NS,2021-10-27,2021-11-22,LONG,493.1584777832031,425.2439880371094,462.048095703125,30.146881103515625,26,
JINDALSTEL.NS : AMBUJACEM.NS,2021-11-09,2021-11-22,SHORT,408.3488159179687,418.5570068359375,363.9867248535156,3.064483642578068,13,
JSWSTEEL.NS : GRASIM.NS,2021-10-21,2021-11-22,SHORT,646.0911865234375,1717.4178466796875,629.7017822265625,48.3609619140625,32,
TATAPOWER.NS : HINDZINC.NS,2021-09-21,2021-11-22,LONG,132.9122314453125,208.33755493164065,222.72703552246097,89.68399047851568,62,
ULTRACEMCO.NS : JINDALSTEL.NS,2021-11-03,2021-11-23,LONG,7761.12060546875,417.488037109375,7534.91455078125,-185.005615234375,20,
LT.NS : APOLLOTYRE.NS,2021-10-19,2021-11-24,LONG,1776.174072265625,223.1410217285156,1792.0013427734375,24.294891357421847,36,
IOC.NS : GAIL.NS,2021-10-07,2021-11-25,LONG,70.37886047363281,89.24440002441406,69.35323333740234,9.092277526855469,49,
TCS.NS : INFY.NS,2021-11-18,2021-11-25,SHORT,3269.72265625,1668.1553955078125,3241.688720703125,-25.4027099609375,7,
COALINDIA.NS : BDL.NS,2021-11-17,2021-11-26,SHORT,112.97810363769533,205.5881805419922,112.83334350585938,-18.83187866210936,9,
NTPC.NS : CEATLTD.NS,2021-11-18,2021-11-26,LONG,118.98040771484376,1194.31640625,113.30838012695312,18.33370971679686,8,
COALINDIA.NS : HAL.NS,2021-11-15,2021-11-26,SHORT,115.61980438232422,663.4451293945312,112.83334350585938,-54.695777893066406,11,
VEDL.NS : HINDZINC.NS,2021-11-23,2021-11-30,LONG,186.12779235839844,213.63433837890625,177.86065673828125,-12.419448852539062,7,
APOLLOHOSP.NS : TCS.NS,2021-11-15,2021-12-01,LONG,5022.365234375,3342.7236328125,5506.7646484375,461.35107421875,16,
IGL.NS : HDFCLIFE.NS,2021-11-23,2021-12-01,LONG,244.01791381835935,688.8369750976562,239.3518524169922,-3.130661010742159,8,
HINDZINC.NS : SBILIFE.NS,2021-11-26,2021-12-02,LONG,215.9884033203125,1121.4549560546875,217.95018005371097,-55.284194946289034,6,
APOLLOHOSP.NS : SBILIFE.NS,2021-11-11,2021-12-02,LONG,4514.58740234375,1144.125,5528.4619140625,979.298583984375,21,
SBIN.NS : TATAPOWER.NS,2021-11-16,2021-12-02,SHORT,470.3125305175781,239.212646484375,453.11871337890625,-0.5147552490234375,16,
HINDZINC.NS : POWERGRID.NS,2021-11-23,2021-12-03,SHORT,213.63433837890625,125.43307495117188,227.33383178710935,-11.058456420898409,10,
APOLLOHOSP.NS : HAVELLS.NS,2021-11-17,2021-12-03,LONG,5667.83544921875,1350.5556640625,5369.7626953125,-305.9290771484375,16,
JSWSTEEL.NS : APOLLOHOSP.NS,2021-11-09,2021-12-06,SHORT,648.5352783203125,4480.6337890625,616.1396484375,790.4527587890625,27,
APOLLOHOSP.NS : HDFCBANK.NS,2021-11-17,2021-12-06,LONG,5667.83544921875,1475.8953857421875,5238.69091796875,-403.113037109375,19,
ULTRACEMCO.NS : GRASIM.NS,2021-12-02,2021-12-06,SHORT,7205.54296875,1695.82470703125,7098.6875,44.7811279296875,4,
ICICIBANK.NS : APOLLOHOSP.NS,2021-11-15,2021-12-06,SHORT,749.7058715820312,5022.365234375,687.9009399414062,278.130615234375,21,
IOC.NS : GAIL.NS,2021-12-06,2021-12-07,LONG,66.75904083251953,72.02719116210938,66.56584930419922,-2.2614974975585938,1,
BDL.NS : HAL.NS,2021-11-16,2021-12-07,SHORT,200.7717742919922,666.663330078125,194.53453063964844,-54.25115966796875,21,
ULTRACEMCO.NS : APOLLOHOSP.NS,2021-11-15,2021-12-07,SHORT,7921.45263671875,5022.365234375,7182.125,970.3330078125,22,
GRASIM.NS : APOLLOHOSP.NS,2021-11-15,2021-12-07,SHORT,1825.6787109375,5022.365234375,1658.147216796875,398.536865234375,22,
APOLLOHOSP.NS : AMBUJACEM.NS,2021-11-15,2021-12-07,LONG,5022.365234375,408.8513488769531,5253.37060546875,278.077880859375,22,
SBIN.NS : VEDL.NS,2021-11-23,2021-12-08,SHORT,468.3651428222656,186.12779235839844,466.9402465820313,-5.293792724609432,15,
IOC.NS : LICHSGFIN.NS,2021-11-26,2021-12-08,LONG,66.75904083251953,352.0286560058594,66.4554672241211,-10.145370483398438,12,
SBIN.NS : CGPOWER.NS,2021-11-16,2021-12-08,SHORT,470.3125305175781,155.13668823242188,466.9402465820313,1.6397399902343182,22,
BEL.NS : POWERGRID.NS,2021-11-24,2021-12-09,SHORT,65.8493881225586,126.33415222167967,65.65975189208984,0.12747955322267046,15,
CEATLTD.NS : HAL.NS,2021-10-29,2021-12-09,SHORT,1222.0455322265625,609.3901977539062,1140.1807861328125,81.50048828125,41,
NTPC.NS : CEATLTD.NS,2021-12-02,2021-12-09,LONG,113.1764678955078,1117.105712890625,110.84613037109376,-25.405410766601534,7,
BDL.NS : CEATLTD.NS,2021-10-25,2021-12-09,LONG,206.6477813720703,1267.6568603515625,193.66758728027344,114.49588012695312,45,
BDL.NS : POWERGRID.NS,2021-11-22,2021-12-10,SHORT,187.5025634765625,120.67923736572266,194.10104370117188,-1.3474960327148295,18,
GRASIM.NS : HAVELLS.NS,2021-11-18,2021-12-10,SHORT,1745.651123046875,1348.296875,1720.762451171875,43.7930908203125,22,
AMBUJACEM.NS : HAVELLS.NS,2021-11-22,2021-12-13,SHORT,377.2593994140625,1352.76513671875,368.6698913574219,1.224273681640625,21,
LT.NS : APOLLOTYRE.NS,2021-12-09,2021-12-13,LONG,1808.646484375,208.0340118408203,1791.0391845703125,-20.78265380859375,4,
NTPC.NS : BDL.NS,2021-11-29,2021-12-14,SHORT,111.24183654785156,198.67665100097656,111.10994720458984,-6.009040832519531,15,
JINDALSTEL.NS : HINDZINC.NS,2021-11-17,2021-12-14,SHORT,377.3250122070313,217.5251007080078,394.3190002441406,-1.7144470214843182,27,
ABB.NS : HINDZINC.NS,2021-11-26,2021-12-14,SHORT,1974.5438232421875,215.9884033203125,2249.248046875,-257.8879852294922,18,
CGPOWER.NS : HINDZINC.NS,2021-12-03,2021-12-14,SHORT,154.6416778564453,227.33383178710935,180.18429565429688,-20.071807861328097,11,
HAL.NS : MGL.NS,2021-11-18,2021-12-14,LONG,645.3024291992188,884.7025756835938,606.763916015625,7.27099609375,26,
